indiv	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
10FPRENY_S18	SUPER__1	1	244374582	25591740	239368707	97.9516	14.6031	36.2	50.7
10FPRENY_S18	SUPER__2	1	212563729	23097396	210216053	98.8955	15.1289	36.2	53.1
10FPRENY_S18	SUPER__3	1	211792393	23250145	209302329	98.8243	15.2592	36.2	52.6
10FPRENY_S18	SUPER__4	1	121730464	13468013	120020555	98.5953	15.4793	36.2	51.8
10FPRENY_S18	SUPER__5	1	113776203	11643307	111307160	97.8299	14.2905	36.2	52.5
10FPRENY_S18	SUPER__6	1	111457381	12194011	110616742	99.2458	15.2724	36.2	54
10FPRENY_S18	SUPER__7	1	98951147	10691874	97152831	98.1826	15.0129	36.2	53.3
10FPRENY_S18	SUPER__8	1	93510542	10218240	92363889	98.7738	15.2862	36.2	53.7
10FPRENY_S18	SUPER__9	1	91912741	9827143	90885595	98.8825	14.9761	36.2	54.5
10FPRENY_S18	SUPER__10	1	84231690	9118366	82726728	98.2133	15.0413	36.2	52.6
10FPRENY_S18	SUPER__11	1	83622935	9092685	82437442	98.5823	15.066	36.2	52.4
10FPRENY_S18	SUPER__12	1	81635540	8886724	80404021	98.4914	15.2551	36.2	51.5
10FPRENY_S18	SUPER__13	1	72972725	7820987	71539919	98.0365	15.0395	36.2	49.1
10FPRENY_S18	SUPER__14	1	61507012	6364881	59331020	96.4622	14.1181	36	49
10FPRENY_S18	SUPER__15	1	60856427	6637991	60138777	98.8207	15.1576	36.2	53.2
10FPRENY_S18	SUPER__16	1	55580494	6043106	55242159	99.3913	15.2013	36.2	54.7
10FPRENY_S18	SUPER__17	1	54681234	5555815	53256082	97.3937	14.1243	36.2	52.2
10FPRENY_S18	SUPER__18	1	52719951	5693494	52075175	98.777	15.0618	36.2	54.5
10FPRENY_S18	SUPER__19	1	43711415	4550039	43165870	98.7519	14.5652	36.2	54.6
10FPRENY_S18	SUPER__20	1	28462450	2965954	28067418	98.6121	14.5614	36.2	54
10FPRENY_S18	SUPER__21	1	25775296	2357232	23263473	90.2549	12.7886	36.1	33.7
10FPRENY_S18	SUPER__22	1	17753772	1881542	17519054	98.6779	14.6698	36.2	52.9
10FPRENY_S18	SUPER__23	1	2327365	227648	2292420	98.4985	13.5734	36.1	53.1
12MPRENY_S19	SUPER__1	1	244374582	34276662	239876922	98.1595	19.8404	36.1	52.3
12MPRENY_S19	SUPER__2	1	212563729	31394064	210362833	98.9646	20.8435	36.1	54.3
12MPRENY_S19	SUPER__3	1	211792393	31394134	209587352	98.9589	20.927	36.1	53.8
12MPRENY_S19	SUPER__4	1	121730464	9717382	119490588	98.16	11.021	36.1	48.4
12MPRENY_S19	SUPER__5	1	113776203	16083821	110889939	97.4632	19.9939	36.1	53.4
12MPRENY_S19	SUPER__6	1	111457381	16741279	110663419	99.2877	21.2888	36.1	55.2
12MPRENY_S19	SUPER__7	1	98951147	14699383	97454136	98.4871	21.0001	36.1	54.6
12MPRENY_S19	SUPER__8	1	93510542	13915999	92522298	98.9432	21.1199	36.1	54.9
12MPRENY_S19	SUPER__9	1	91912741	13564148	91008933	99.0167	20.9426	36.1	55.6
12MPRENY_S19	SUPER__10	1	84231690	12509592	82994365	98.531	20.9777	36.1	53.7
12MPRENY_S19	SUPER__11	1	83622935	12631961	82579510	98.7522	21.2828	36.1	53.3
12MPRENY_S19	SUPER__12	1	81635540	12076383	80560317	98.6829	20.9845	36.1	53.1
12MPRENY_S19	SUPER__13	1	72972725	10598902	71694891	98.2489	20.6	36.1	50.9
12MPRENY_S19	SUPER__14	1	61507012	8749865	59664669	97.0047	19.6851	36	50
12MPRENY_S19	SUPER__15	1	60856427	9101093	60173723	98.8782	21.0997	36.1	54.5
12MPRENY_S19	SUPER__16	1	55580494	8319319	55236275	99.3807	21.196	36.1	55.8
12MPRENY_S19	SUPER__17	1	54681234	7813105	53473102	97.7906	20.1573	36.1	53.3
12MPRENY_S19	SUPER__18	1	52719951	7835051	52191684	98.998	21.0302	36.1	55.6
12MPRENY_S19	SUPER__19	1	43711415	6377767	43249197	98.9426	20.6816	36.1	55.6
12MPRENY_S19	SUPER__20	1	28462450	4113852	28104037	98.7408	20.3918	36.1	54.9
12MPRENY_S19	SUPER__21	1	25775296	2942768	23697393	91.9384	15.9743	36	36.4
12MPRENY_S19	SUPER__22	1	17753772	2563860	17531685	98.7491	20.1845	36.1	53.6
12MPRENY_S19	SUPER__23	1	2327365	333794	2301232	98.8771	20.1445	36	54.3
13FPRENY_S22	SUPER__1	1	244374582	28949750	239556540	98.0284	16.5631	36.5	52
13FPRENY_S22	SUPER__2	1	212563729	26688685	210444398	99.003	17.5064	36.5	53.9
13FPRENY_S22	SUPER__3	1	211792393	26488339	209610981	98.97	17.4598	36.5	53.4
13FPRENY_S22	SUPER__4	1	121730464	14795837	120154344	98.7052	16.9991	36.5	52.1
13FPRENY_S22	SUPER__5	1	113776203	13813244	111684215	98.1613	16.9472	36.5	53.2
13FPRENY_S22	SUPER__6	1	111457381	14168542	110678519	99.3012	17.8024	36.5	54.9
13FPRENY_S22	SUPER__7	1	98951147	12340283	97398856	98.4313	17.4334	36.5	54.3
13FPRENY_S22	SUPER__8	1	93510542	11699031	92563871	98.9876	17.5557	36.5	54.6
13FPRENY_S22	SUPER__9	1	91912741	11599704	90989198	98.9952	17.6875	36.5	55.3
13FPRENY_S22	SUPER__10	1	84231690	10597388	82960966	98.4914	17.5617	36.5	53.2
13FPRENY_S22	SUPER__11	1	83622935	10672056	82509959	98.6691	17.7286	36.5	53.3
13FPRENY_S22	SUPER__12	1	81635540	10404727	80514625	98.6269	17.8603	36.5	52.3
13FPRENY_S22	SUPER__13	1	72972725	9114294	71529722	98.0225	17.4815	36.5	50.3
13FPRENY_S22	SUPER__14	1	61507012	7723527	59192542	96.2371	17.0488	36.3	49.8
13FPRENY_S22	SUPER__15	1	60856427	7856350	60239190	98.9857	17.9693	36.5	54.1
13FPRENY_S22	SUPER__16	1	55580494	7121450	55266554	99.4352	17.9023	36.5	55.4
13FPRENY_S22	SUPER__17	1	54681234	6816992	53238746	97.362	17.3081	36.5	53.3
13FPRENY_S22	SUPER__18	1	52719951	6633096	52173614	98.9637	17.5924	36.5	55.2
13FPRENY_S22	SUPER__19	1	43711415	5559629	43229764	98.8981	17.7641	36.5	55.3
13FPRENY_S22	SUPER__20	1	28462450	3685552	28113221	98.773	17.9838	36.5	54.6
13FPRENY_S22	SUPER__21	1	25775296	2505759	23202628	90.0189	13.3745	36.5	38.1
13FPRENY_S22	SUPER__22	1	17753772	2279751	17554776	98.8791	17.6757	36.5	53.3
13FPRENY_S22	SUPER__23	1	2327365	318672	2305106	99.0436	18.813	36.5	53.8
15FPRENY_S23	SUPER__1	1	244374582	23106790	238232202	97.4865	13.5213	35.8	53.3
15FPRENY_S23	SUPER__2	1	212563729	21348098	210154899	98.8668	14.3221	35.8	54.9
15FPRENY_S23	SUPER__3	1	211792393	21386841	209223868	98.7872	14.421	35.8	54.4
15FPRENY_S23	SUPER__4	1	121730464	6445388	118785656	97.5809	7.43114	35.7	49.6
15FPRENY_S23	SUPER__5	1	113776203	10935247	110360455	96.9978	13.7288	35.8	54.2
15FPRENY_S23	SUPER__6	1	111457381	11405561	110504279	99.1449	14.6604	35.8	55.9
15FPRENY_S23	SUPER__7	1	98951147	9980889	97073274	98.1022	14.426	35.8	55.3
15FPRENY_S23	SUPER__8	1	93510542	9511240	92414873	98.8283	14.5966	35.8	55.6
15FPRENY_S23	SUPER__9	1	91912741	9251641	90837141	98.8298	14.4296	35.8	56.2
15FPRENY_S23	SUPER__10	1	84231690	8520413	82800176	98.3005	14.4447	35.8	54.3
15FPRENY_S23	SUPER__11	1	83622935	8486681	82364923	98.4956	14.4356	35.8	54.4
15FPRENY_S23	SUPER__12	1	81635540	8240667	80402695	98.4898	14.4664	35.8	53.6
15FPRENY_S23	SUPER__13	1	72972725	7200025	71425671	97.88	14.134	35.8	51.6
15FPRENY_S23	SUPER__14	1	61507012	5874826	59147237	96.1634	13.3288	35.6	50.6
15FPRENY_S23	SUPER__15	1	60856427	6177628	60072760	98.7123	14.4596	35.8	55.2
15FPRENY_S23	SUPER__16	1	55580494	5670721	55198614	99.3129	14.5902	35.8	56.4
15FPRENY_S23	SUPER__17	1	54681234	5291243	53275679	97.4295	13.7692	35.8	53.7
15FPRENY_S23	SUPER__18	1	52719951	5349391	52119176	98.8604	14.5165	35.8	56.3
15FPRENY_S23	SUPER__19	1	43711415	4342396	43126017	98.6608	14.2019	35.8	56.2
15FPRENY_S23	SUPER__20	1	28462450	2776292	28054383	98.5663	13.8626	35.8	55
15FPRENY_S23	SUPER__21	1	25775296	1844538	22792147	88.4263	10.0589	35.7	37.6
15FPRENY_S23	SUPER__22	1	17753772	1704951	17471271	98.4088	13.531	35.7	54
15FPRENY_S23	SUPER__23	1	2327365	222100	2298111	98.743	13.4863	35.6	53.8
16FPRENY_S25	SUPER__1	1	244374582	32276909	240227011	98.3028	18.7256	35.9	52.3
16FPRENY_S25	SUPER__2	1	212563729	29703082	210605989	99.079	19.7606	35.9	54.3
16FPRENY_S25	SUPER__3	1	211792393	29486490	209785529	99.0524	19.7063	35.9	53.9
16FPRENY_S25	SUPER__4	1	121730464	16398048	120264367	98.7956	19.086	35.9	52.5
16FPRENY_S25	SUPER__5	1	113776203	15252541	111000199	97.5601	18.9905	35.9	53.7
16FPRENY_S25	SUPER__6	1	111457381	15691950	110727584	99.3452	20.0037	35.9	55.5
16FPRENY_S25	SUPER__7	1	98951147	13757191	97299693	98.331	19.715	35.9	54.8
16FPRENY_S25	SUPER__8	1	93510542	13039203	92530581	98.952	19.8476	35.9	55
16FPRENY_S25	SUPER__9	1	91912741	12823938	91058152	99.0702	19.8363	35.9	55.8
16FPRENY_S25	SUPER__10	1	84231690	11916508	83017978	98.5591	19.9661	35.9	53.7
16FPRENY_S25	SUPER__11	1	83622935	11828076	82582705	98.756	19.9507	35.9	53.8
16FPRENY_S25	SUPER__12	1	81635540	11509458	80579279	98.7061	20.0433	35.9	52.9
16FPRENY_S25	SUPER__13	1	72972725	10022087	71711281	98.2713	19.5056	35.9	51
16FPRENY_S25	SUPER__14	1	61507012	8408575	59590434	96.884	18.9059	35.7	50.2
16FPRENY_S25	SUPER__15	1	60856427	8640610	60259419	99.019	20.0583	35.9	54.7
16FPRENY_S25	SUPER__16	1	55580494	7870561	55266215	99.4346	20.0773	35.9	55.9
16FPRENY_S25	SUPER__17	1	54681234	7451438	53207750	97.3053	19.2257	35.8	53.9
16FPRENY_S25	SUPER__18	1	52719951	7361110	52168162	98.9534	19.8146	35.9	55.9
16FPRENY_S25	SUPER__19	1	43711415	6135360	43231598	98.9023	19.9023	35.9	55.9
16FPRENY_S25	SUPER__20	1	28462450	3975642	28095622	98.7112	19.698	35.8	55.3
16FPRENY_S25	SUPER__21	1	25775296	2750734	23449875	90.9781	14.8935	35.8	38.1
16FPRENY_S25	SUPER__22	1	17753772	2521986	17578814	99.0145	19.8638	35.8	53.6
16FPRENY_S25	SUPER__23	1	2327365	341755	2306698	99.112	20.621	35.7	54.3
18FPRENY_S24	SUPER__1	1	244374582	36690644	240491145	98.4109	21.3522	35.8	52.1
18FPRENY_S24	SUPER__2	1	212563729	33296875	210557652	99.0562	22.2155	35.8	54.5
18FPRENY_S24	SUPER__3	1	211792393	33265755	209758020	99.0394	22.2926	35.8	54.1
18FPRENY_S24	SUPER__4	1	121730464	18481415	120283074	98.811	21.5909	35.8	52.9
18FPRENY_S24	SUPER__5	1	113776203	17047621	111106027	97.6531	21.2877	35.8	53.7
18FPRENY_S24	SUPER__6	1	111457381	17676315	110705641	99.3255	22.5884	35.9	55.6
18FPRENY_S24	SUPER__7	1	98951147	15541107	97376243	98.4084	22.3234	35.8	54.9
18FPRENY_S24	SUPER__8	1	93510542	14737732	92557246	98.9805	22.4807	35.9	55.1
18FPRENY_S24	SUPER__9	1	91912741	14352911	91015748	99.0241	22.2623	35.9	55.9
18FPRENY_S24	SUPER__10	1	84231690	13235988	82951782	98.4805	22.2729	35.8	54.1
18FPRENY_S24	SUPER__11	1	83622935	13164962	82635975	98.8197	22.2651	35.8	53.9
18FPRENY_S24	SUPER__12	1	81635540	12865093	80608958	98.7425	22.4578	35.8	53
18FPRENY_S24	SUPER__13	1	72972725	11233934	71772993	98.3559	21.92	35.8	51.1
18FPRENY_S24	SUPER__14	1	61507012	9324296	59543388	96.8075	21.038	35.7	50.2
18FPRENY_S24	SUPER__15	1	60856427	9591287	60259327	99.0188	22.3308	35.8	54.9
18FPRENY_S24	SUPER__16	1	55580494	8797068	55249322	99.4042	22.5026	35.8	56
18FPRENY_S24	SUPER__17	1	54681234	8223431	53407342	97.6703	21.2799	35.8	53.6
18FPRENY_S24	SUPER__18	1	52719951	8270107	52181451	98.9786	22.3146	35.9	56
18FPRENY_S24	SUPER__19	1	43711415	6740535	43226044	98.8896	21.9302	35.8	55.9
18FPRENY_S24	SUPER__20	1	28462450	4374170	28119820	98.7962	21.7494	35.8	54.8
18FPRENY_S24	SUPER__21	1	25775296	3084124	23686151	91.8948	16.7875	35.7	37
18FPRENY_S24	SUPER__22	1	17753772	2727992	17536542	98.7764	21.5471	35.8	53.5
18FPRENY_S24	SUPER__23	1	2327365	349337	2300738	98.8559	21.0666	35.7	54.3
19FPRENY_S16	SUPER__1	1	244374582	27904844	239743732	98.105	16.2344	36.1	52.1
19FPRENY_S16	SUPER__2	1	212563729	25448218	210444754	99.0031	16.976	36.1	54.5
19FPRENY_S16	SUPER__3	1	211792393	25330702	209253490	98.8012	16.9716	36.1	53.9
19FPRENY_S16	SUPER__4	1	121730464	14152322	120094991	98.6565	16.5395	36.1	52.9
19FPRENY_S16	SUPER__5	1	113776203	13050738	110640134	97.2437	16.291	36.1	53.7
19FPRENY_S16	SUPER__6	1	111457381	13453720	110605732	99.2359	17.1855	36.1	55.5
19FPRENY_S16	SUPER__7	1	98951147	11802596	97262014	98.293	16.9479	36.1	54.9
19FPRENY_S16	SUPER__8	1	93510542	11217606	92505714	98.9254	17.1096	36.2	55
19FPRENY_S16	SUPER__9	1	91912741	10963860	90929631	98.9304	16.9997	36.1	55.8
19FPRENY_S16	SUPER__10	1	84231690	10040708	82843180	98.3516	16.9149	36.1	54
19FPRENY_S16	SUPER__11	1	83622935	10149746	82503548	98.6614	17.156	36.1	53.7
19FPRENY_S16	SUPER__12	1	81635540	9878231	80430954	98.5244	17.2388	36.1	52.8
19FPRENY_S16	SUPER__13	1	72972725	8653611	71605874	98.1269	16.8829	36.1	50.6
19FPRENY_S16	SUPER__14	1	61507012	7180403	59267097	96.3583	16.1944	36	49.9
19FPRENY_S16	SUPER__15	1	60856427	7364702	60208023	98.9345	17.1383	36.1	54.8
19FPRENY_S16	SUPER__16	1	55580494	6714655	55218652	99.349	17.1665	36.1	56
19FPRENY_S16	SUPER__17	1	54681234	6354078	53289926	97.4556	16.434	36.1	53.5
19FPRENY_S16	SUPER__18	1	52719951	6277131	52133134	98.8869	16.9254	36.2	55.9
19FPRENY_S16	SUPER__19	1	43711415	5212975	43197358	98.824	16.9545	36.1	55.8
19FPRENY_S16	SUPER__20	1	28462450	3392343	28078270	98.6502	16.8575	36.1	54.7
19FPRENY_S16	SUPER__21	1	25775296	2352332	23169640	89.8909	12.8015	36	37.3
19FPRENY_S16	SUPER__22	1	17753772	2061467	17488714	98.507	16.2613	36.1	54
19FPRENY_S16	SUPER__23	1	2327365	277255	2301256	98.8782	16.7504	36	54.6
21MPRENY_S17	SUPER__1	1	244374582	41631667	240608251	98.4588	24.2361	36.2	52.3
21MPRENY_S17	SUPER__2	1	212563729	37941641	210666806	99.1076	25.3274	36.2	54.5
21MPRENY_S17	SUPER__3	1	211792393	37873702	209677766	99.0016	25.3805	36.2	54.1
21MPRENY_S17	SUPER__4	1	121730464	11670138	119753849	98.3762	13.3459	36.1	48.9
21MPRENY_S17	SUPER__5	1	113776203	19394482	111153218	97.6946	24.2266	36.2	53.8
21MPRENY_S17	SUPER__6	1	111457381	20235678	110826583	99.434	25.8702	36.2	55.6
21MPRENY_S17	SUPER__7	1	98951147	17850252	97510322	98.5439	25.6401	36.2	54.8
21MPRENY_S17	SUPER__8	1	93510542	16894065	92594452	99.0203	25.7809	36.2	55.2
21MPRENY_S17	SUPER__9	1	91912741	16461121	91054412	99.0661	25.5483	36.2	55.9
21MPRENY_S17	SUPER__10	1	84231690	15040875	82994610	98.5313	25.3636	36.2	54.2
21MPRENY_S17	SUPER__11	1	83622935	15220800	82668474	98.8586	25.7568	36.2	53.7
21MPRENY_S17	SUPER__12	1	81635540	14753229	80646260	98.7882	25.7795	36.2	53
21MPRENY_S17	SUPER__13	1	72972725	12722384	71830829	98.4352	24.8386	36.2	51.6
21MPRENY_S17	SUPER__14	1	61507012	10560726	59653780	96.987	23.851	36	50.1
21MPRENY_S17	SUPER__15	1	60856427	10993755	60273887	99.0428	25.6174	36.2	54.9
21MPRENY_S17	SUPER__16	1	55580494	10097937	55286681	99.4714	25.846	36.2	56
21MPRENY_S17	SUPER__17	1	54681234	9273511	53448713	97.746	24.0165	36.2	53.8
21MPRENY_S17	SUPER__18	1	52719951	9510994	52221205	99.054	25.6687	36.2	55.9
21MPRENY_S17	SUPER__19	1	43711415	7692677	43212794	98.8593	25.0441	36.2	55.8
21MPRENY_S17	SUPER__20	1	28462450	4924149	28131877	98.8386	24.5024	36.2	54.9
21MPRENY_S17	SUPER__21	1	25775296	3258202	23631518	91.6828	17.7186	36.1	37.3
21MPRENY_S17	SUPER__22	1	17753772	3087688	17588882	99.0712	24.4154	36.2	53.7
21MPRENY_S17	SUPER__23	1	2327365	385810	2304195	99.0045	23.2915	36.1	54.4
23MPRENY_S15	SUPER__1	1	244374582	31873080	239993672	98.2073	18.6389	36.2	52.2
23MPRENY_S15	SUPER__2	1	212563729	28928652	210403999	98.984	19.3932	36.2	54.6
23MPRENY_S15	SUPER__3	1	211792393	29005169	209393849	98.8675	19.5246	36.2	54
23MPRENY_S15	SUPER__4	1	121730464	9054856	119537895	98.1988	10.4262	36.1	49.1
23MPRENY_S15	SUPER__5	1	113776203	14679960	111633537	98.1168	18.4155	36.2	53.9
23MPRENY_S15	SUPER__6	1	111457381	15273685	110688179	99.3099	19.6097	36.2	55.6
23MPRENY_S15	SUPER__7	1	98951147	13459023	97418254	98.4509	19.4159	36.2	54.8
23MPRENY_S15	SUPER__8	1	93510542	12721592	92529074	98.9504	19.5002	36.2	55.4
23MPRENY_S15	SUPER__9	1	91912741	12408733	90972484	98.977	19.3328	36.2	55.9
23MPRENY_S15	SUPER__10	1	84231690	11446413	82914175	98.4358	19.3824	36.2	54.1
23MPRENY_S15	SUPER__11	1	83622935	11441606	82529368	98.6923	19.4294	36.2	53.8
23MPRENY_S15	SUPER__12	1	81635540	11226438	80547922	98.6677	19.6992	36.2	52.6
23MPRENY_S15	SUPER__13	1	72972725	9633649	71630475	98.1606	18.8802	36.2	51.5
23MPRENY_S15	SUPER__14	1	61507012	7995997	59352733	96.4975	18.0875	36	50.2
23MPRENY_S15	SUPER__15	1	60856427	8329911	60198852	98.9195	19.4827	36.2	54.8
23MPRENY_S15	SUPER__16	1	55580494	7599713	55241762	99.3906	19.5271	36.2	56.1
23MPRENY_S15	SUPER__17	1	54681234	7052492	53385625	97.6306	18.3353	36.2	53.6
23MPRENY_S15	SUPER__18	1	52719951	7144528	52103295	98.8303	19.3645	36.2	56
23MPRENY_S15	SUPER__19	1	43711415	5791161	43227782	98.8936	18.9331	36.2	55.9
23MPRENY_S15	SUPER__20	1	28462450	3735369	28079000	98.6528	18.6462	36.2	55.1
23MPRENY_S15	SUPER__21	1	25775296	2607081	23141241	89.7807	14.2495	36.1	37.5
23MPRENY_S15	SUPER__22	1	17753772	2341716	17547473	98.838	18.5811	36.2	54.1
23MPRENY_S15	SUPER__23	1	2327365	294216	2303587	98.9783	17.8618	36.1	54.7
5MPRENY_S21	SUPER__1	1	244374582	23761205	239572644	98.035	13.8484	35.9	52.2
5MPRENY_S21	SUPER__2	1	212563729	21500432	209951728	98.7712	14.3672	35.9	54.8
5MPRENY_S21	SUPER__3	1	211792393	21444980	209266437	98.8073	14.391	35.9	54.4
5MPRENY_S21	SUPER__4	1	121730464	6508648	119032642	97.7838	7.46232	35.9	49.2
5MPRENY_S21	SUPER__5	1	113776203	11098403	111394704	97.9069	13.8833	35.9	53.9
5MPRENY_S21	SUPER__6	1	111457381	11531176	110564122	99.1986	14.7605	35.9	55.8
5MPRENY_S21	SUPER__7	1	98951147	10142857	97178173	98.2082	14.5927	35.9	55.1
5MPRENY_S21	SUPER__8	1	93510542	9621383	92373736	98.7843	14.7034	35.9	55.3
5MPRENY_S21	SUPER__9	1	91912741	9397708	90875331	98.8713	14.6013	35.9	56.1
5MPRENY_S21	SUPER__10	1	84231690	8600078	82675118	98.152	14.5174	35.9	54.4
5MPRENY_S21	SUPER__11	1	83622935	8625449	82357485	98.4867	14.6228	35.9	54
5MPRENY_S21	SUPER__12	1	81635540	8416793	80360747	98.4384	14.7243	35.9	53.2
5MPRENY_S21	SUPER__13	1	72972725	7193851	71221918	97.6007	14.0555	35.9	52.2
5MPRENY_S21	SUPER__14	1	61507012	5994789	59206123	96.2591	13.5632	35.7	50.5
5MPRENY_S21	SUPER__15	1	60856427	6272807	60004248	98.5997	14.632	35.9	55.2
5MPRENY_S21	SUPER__16	1	55580494	5756486	55228446	99.3666	14.7543	35.9	56.2
5MPRENY_S21	SUPER__17	1	54681234	5290363	53089750	97.0895	13.7226	35.9	54
5MPRENY_S21	SUPER__18	1	52719951	5429930	52106481	98.8364	14.6756	35.9	56.1
5MPRENY_S21	SUPER__19	1	43711415	4393899	43188647	98.804	14.3246	35.9	56
5MPRENY_S21	SUPER__20	1	28462450	2834668	28064071	98.6003	14.1165	35.9	55.1
5MPRENY_S21	SUPER__21	1	25775296	1807927	22710129	88.1081	9.82572	35.8	38.8
5MPRENY_S21	SUPER__22	1	17753772	1761636	17515757	98.6594	13.9468	35.9	54
5MPRENY_S21	SUPER__23	1	2327365	226976	2286005	98.2229	13.7581	35.8	55.4
602839_S2	SUPER__1	1	244374582	61873743	240753352	98.5182	35.7547	38.1	51.7
602839_S2	SUPER__2	1	212563729	56190868	210686290	99.1168	37.224	38.1	54.2
602839_S2	SUPER__3	1	211792393	55962959	209796536	99.0576	37.1989	38.1	53.6
602839_S2	SUPER__4	1	121730464	31978151	120331687	98.8509	37.0718	38.1	52.4
602839_S2	SUPER__5	1	113776203	28981869	111002210	97.5619	35.9704	38.1	53.5
602839_S2	SUPER__6	1	111457381	29773828	110799314	99.4096	37.7548	38.1	55.2
602839_S2	SUPER__7	1	98951147	25893869	97531541	98.5653	36.9008	38.1	54.5
602839_S2	SUPER__8	1	93510542	24636785	92665363	99.0962	37.3217	38.1	54.9
602839_S2	SUPER__9	1	91912741	24450211	91142942	99.1625	37.6976	38.1	55.7
602839_S2	SUPER__10	1	84231690	22111227	83039156	98.5842	36.9761	38.1	53.8
602839_S2	SUPER__11	1	83622935	22330717	82649404	98.8358	37.5098	38.1	53.6
602839_S2	SUPER__12	1	81635540	21784247	80616174	98.7513	37.7972	38.1	52.7
602839_S2	SUPER__13	1	72972725	19404308	71848053	98.4588	37.6291	38.1	49.9
602839_S2	SUPER__14	1	61507012	16560341	59694497	97.0532	36.9891	37.8	49.4
602839_S2	SUPER__15	1	60856427	16386606	60357449	99.1801	37.9336	38.1	54.5
602839_S2	SUPER__16	1	55580494	15070769	55310712	99.5146	38.2831	38.1	55.6
602839_S2	SUPER__17	1	54681234	14187227	53531761	97.8979	36.5791	38	53.5
602839_S2	SUPER__18	1	52719951	13878489	52302704	99.2086	37.1925	38.1	55.6
602839_S2	SUPER__19	1	43711415	11656729	43285689	99.0261	37.7532	38.1	55.6
602839_S2	SUPER__20	1	28462450	7548998	28141060	98.8708	37.4352	38	55.2
602839_S2	SUPER__21	1	25775296	5442592	23755991	92.1657	29.5396	38	37.5
602839_S2	SUPER__22	1	17753772	4686179	17576059	98.999	36.8953	38	53.8
602839_S2	SUPER__23	1	2327365	615474	2309639	99.2384	37.2864	37.9	53.6
602842_S4	SUPER__1	1	244374582	49978708	240769965	98.525	29.029	36.8	52.4
602842_S4	SUPER__2	1	212563729	45594439	210878409	99.2071	30.3751	36.8	54.5
602842_S4	SUPER__3	1	211792393	45548155	209856508	99.086	30.4685	36.8	54
602842_S4	SUPER__4	1	121730464	25965214	120411522	98.9165	30.2977	36.8	52.9
602842_S4	SUPER__5	1	113776203	23308061	111139094	97.6822	29.0599	36.8	53.7
602842_S4	SUPER__6	1	111457381	23988142	110809206	99.4185	30.6007	36.8	55.6
602842_S4	SUPER__7	1	98951147	21066698	97556446	98.5905	30.1897	36.8	54.8
602842_S4	SUPER__8	1	93510542	19938598	92711965	99.146	30.3607	36.8	55.2
602842_S4	SUPER__9	1	91912741	19490939	91172422	99.1945	30.1662	36.8	55.8
602842_S4	SUPER__10	1	84231690	17896987	83020073	98.5616	30.1023	36.8	54
602842_S4	SUPER__11	1	83622935	18001421	82666959	98.8568	30.3719	36.8	53.8
602842_S4	SUPER__12	1	81635540	17635273	80684444	98.8349	30.7382	36.8	52.7
602842_S4	SUPER__13	1	72972725	15200170	71739327	98.3098	29.5897	36.8	51.3
602842_S4	SUPER__14	1	61507012	12943311	59695711	97.0551	29.1074	36.6	50.2
602842_S4	SUPER__15	1	60856427	13056444	60286376	99.0633	30.3461	36.8	54.8
602842_S4	SUPER__16	1	55580494	11905680	55285898	99.47	30.3867	36.8	56
602842_S4	SUPER__17	1	54681234	11214208	53446480	97.7419	28.99	36.8	53.9
602842_S4	SUPER__18	1	52719951	11161278	52249524	99.1077	30.0672	36.8	55.9
602842_S4	SUPER__19	1	43711415	9224435	43272247	98.9953	29.962	36.8	55.9
602842_S4	SUPER__20	1	28462450	5996341	28129752	98.8311	29.7794	36.8	55.2
602842_S4	SUPER__21	1	25775296	4657074	24214428	93.9443	25.4054	36.7	36.2
602842_S4	SUPER__22	1	17753772	3770152	17577816	99.0089	29.771	36.8	54
602842_S4	SUPER__23	1	2327365	493685	2308836	99.2039	29.9677	36.7	54.8
602843_S8	SUPER__1	1	244374582	47920045	240489096	98.41	27.7755	37.1	52.1
602843_S8	SUPER__2	1	212563729	43471567	210718701	99.132	28.881	37.1	54.3
602843_S8	SUPER__3	1	211792393	43744062	209737007	99.0295	29.1847	37	53.9
602843_S8	SUPER__4	1	121730464	25215111	120355121	98.8702	29.3749	37	52.8
602843_S8	SUPER__5	1	113776203	21907566	110986660	97.5482	27.2353	37.1	53.6
602843_S8	SUPER__6	1	111457381	22726654	110798889	99.4092	28.9137	37.1	55.4
602843_S8	SUPER__7	1	98951147	20105252	97483694	98.517	28.7351	37.1	54.6
602843_S8	SUPER__8	1	93510542	18947488	92602533	99.029	28.7867	37.1	55
602843_S8	SUPER__9	1	91912741	18314135	91110761	99.1275	28.2698	37.1	55.6
602843_S8	SUPER__10	1	84231690	17299880	83147352	98.7127	29.0123	37.1	53.4
602843_S8	SUPER__11	1	83622935	16926195	82631043	98.8139	28.4545	37.1	53.5
602843_S8	SUPER__12	1	81635540	16509621	80669159	98.8162	28.6991	37.1	52.6
602843_S8	SUPER__13	1	72972725	14350778	71778810	98.3639	27.8636	37.1	50.8
602843_S8	SUPER__14	1	61507012	12139556	59412997	96.5955	27.0831	36.9	49.6
602843_S8	SUPER__15	1	60856427	12486984	60351651	99.1705	28.9245	37.1	54.3
602843_S8	SUPER__16	1	55580494	11191742	55286444	99.4709	28.4811	37.1	55.8
602843_S8	SUPER__17	1	54681234	10369554	53500658	97.841	26.695	37.1	53.4
